City,Country,Max Temp,Lat,Lng,Hotel Name
Kamaishi,JP,71.6,39.27,141.88,Hotel Route Inn Kamaishi
Aripuana,BR,72.86,-9.17,-60.63,
Arlit,NE,84.43,18.74,7.39,Hôtel Telwa Bungalow
Korem,ET,58.06,12.51,39.52,
Byron Bay,AU,66.99,-28.65,153.62,Backpackers Inn on the Beach
Sibolga,ID,88.81,1.74,98.78,Hotel Syariah CN Darussalam
Haimen,CN,84.2,23.19,116.61,Jinghao Business Hotel
Carballo,ES,50.0,43.21,-8.69,Pazo do Souto
Darlowo,PL,51.01,54.42,16.41,Hotel Lidia SPA & Wellness
Sulangan,PH,85.37,11.14,123.72,
Te Anau,NZ,50.52,-45.42,167.72,Kingsgate Hotel Te Anau
Ingham,US,37.0,42.6,-84.38,
Charlestown,AU,69.01,-32.95,151.67,Panorama Motor Inn Hotel
Neftcala,AZ,57.65,39.37,49.25,Göl hotel
Ilebo,CD,70.18,-4.32,20.58,Hôtel des palmes
Santarem,BR,78.8,-2.44,-54.71,Hotel Imperador
Kargasok,RU,77.49,59.06,80.86,Hotel Kargasok
Cam Ranh,VN,95.0,11.92,109.16,OYO 598 Peony Hotel
Juneau,US,62.6,58.3,-134.42,"Baranof Downtown, BW Signature Collection"
Ios,GR,62.6,36.73,25.28,Ios Palace Hotel & Spa
Belyy Yar,RU,69.8,53.6,91.39,Pasportnyy Stol
Bay City,US,39.0,43.59,-83.89,DoubleTree by Hilton Hotel Bay City - Riverfront
The Valley,AI,80.6,18.22,-63.06,CeBlue Villas & Beach Resort
La Asuncion,VE,87.8,11.03,-63.86,Colinas de Matasiete
Tuatapere,NZ,52.54,-46.13,167.68,Tom Cruse Refreshment Company
Lipari,IT,66.99,38.47,14.95,Hotel Villa Augustus
Supaul,IN,98.1,26.12,86.6,Honey Rest House
Grand-Santi,GF,73.18,4.25,-54.38,Hotel La Villa Couacou
Samana,DO,76.24,19.21,-69.34,The Bannister - Hotel & Yacht Club
Treinta Y Tres,UY,68.65,-33.23,-54.38,Jardines Apart-Hotel
Bourail,NC,74.91,-21.57,165.48,Nekweta
Niteroi,BR,64.4,-22.88,-43.1,OYO Viareggio Hotel - Niterói
Newtownards,GB,37.99,54.59,-5.69,Strangford Arms Hotel
Bintulu,MY,78.8,3.17,113.03,900 Boutique INN
Fleetwood,GB,37.0,53.93,-3.01,The North Euston Hotel
Tagab,AF,73.4,34.85,69.65,
Tambacounda,SN,84.2,13.75,-13.76,
Sangar,RU,39.42,63.92,127.47,
Champerico,GT,85.78,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
Teluknaga,ID,93.2,-6.1,106.64,Bale Ocasa hotel
Staryy Nadym,RU,45.61,65.61,72.68,
Shubarshi,KZ,58.93,48.59,57.19,
Great Yarmouth,GB,45.0,52.61,1.73,Comfort Hotel Great Yarmouth
Ugoofaaru,MV,82.96,5.67,73.0,Ungoofaaru Inn
Kuching,MY,89.6,1.55,110.33,Hilton Kuching
Giyon,ET,60.44,8.53,37.98,Negash Lodge
Tocopilla,CL,62.73,-22.09,-70.2,Hotel Galvarino
Manavalakurichi,IN,89.6,8.13,77.3,Udaya Boys Hostel
George,ZA,55.4,-33.96,22.46,Protea Hotel by Marriott George King George
Colares,PT,62.01,38.8,-9.45,Arribas Sintra Hotel
Urengoy,RU,42.17,65.97,78.37,Gostinnitsa Medveditsa
Tromso,NO,32.0,69.65,18.96,"Radisson Blu Hotel, Tromsø"
Torrelavega,ES,55.99,43.35,-4.05,Hotel Torresport Spa
Kisesa,TZ,61.02,-3.08,34.15,
Razole,IN,92.73,16.48,81.83,Hotel Somisetty Landmark Konaseema
Manbij,SY,57.2,36.53,37.95,Manbej City Hotel
Labytnangi,RU,39.67,66.66,66.42,Priuralye Hotel
Yerbogachen,RU,43.0,61.28,108.01,
Barkly West,ZA,44.6,-28.54,24.52,Stafford Parker Guest House
Oyama,JP,84.0,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
Golden,US,55.0,39.76,-105.22,Hampton Inn Denver-West/Golden
Pangai,TO,80.6,-19.8,-174.35,Ha'apai Beach Resort
San Pedro,PH,96.01,14.35,121.02,Palines Apartment and Guesthouse
Hong Gai,VN,87.8,20.96,107.09,Hạ Long DC Hotel
Miri,MY,87.8,4.41,114.01,"Mega Hotel, Miri"
Mikuni,JP,71.6,36.22,136.15,Haiya
Calabozo,VE,82.81,8.92,-67.43,Hotel Giardini
Halifax,CA,39.0,44.65,-63.57,Hotel Halifax
Bela,IN,102.06,25.93,81.98,Siddharth Hotel
Verona,IT,60.01,45.42,11.03,Hotel Verona
Rock Sound,BS,76.06,24.9,-76.2,Rock Sound Club
Mata,PT,51.01,40.68,-7.46,Solar dos Pedrosos
Tourlaville,FR,48.0,49.64,-1.57,Hôtel Restaurant La Régence
Cap Malheureux,MU,73.0,-19.98,57.61,Pereybere Hotel & Spa
Asfi,MA,62.76,32.3,-9.24,Hôtel Abda
Mehamn,NO,33.8,71.04,27.85,Mehamn Arctic Hotel AS
Sorong,ID,85.95,-0.88,131.25,The Waigo Hotel
Hokitika,NZ,57.13,-42.72,170.97,Beachfront Hotel Hokitika
Noumea,NC,78.8,-22.28,166.46,Hôtel Le Lagon
Saint-Pierre,RE,72.0,-21.34,55.48,Lindsey Hôtel
Kedougou,SN,81.09,12.56,-12.17,Relais de Kédougou
Biltine,TD,82.58,14.53,20.92,Hôtel Trois Étoiles de Biltine
Toucheng,TW,82.4,24.86,121.82,和風時尚館
Torata,PE,59.07,-17.08,-70.84,Lodging Sra. Tina Vera
Payo,ID,91.22,-3.75,103.64,Legah Hotel
Los Llanos De Aridane,ES,66.2,28.66,-17.92,Valle Aridane
Punta Gorda,US,68.0,26.93,-82.05,Four Points by Sheraton Punta Gorda Harborside
Vilhena,BR,69.15,-12.74,-60.15,Hotel Mirage
Klyuchi,RU,78.21,52.27,79.17,Vesolaya Mayovka
Belaya Gora,RU,33.28,68.53,146.42,
Nichlaul,IN,96.75,27.32,83.73,Dulare Hotel
Redlands,US,69.01,34.06,-117.18,Dynasty Suites Redlands
San Rafael,AR,55.62,-34.62,-68.33,Hotel San Rafael
Omsukchan,RU,33.85,62.53,155.8,
Kropotkin,RU,50.0,45.44,40.58,Hotel Europe Kropotkin
Ishikari,JP,57.2,43.24,141.35,ザ・吉岡
Aswan,EG,71.24,24.09,32.91,Nuba Nile
Marabba,SD,80.4,12.35,32.18,
Sihor,IN,88.3,21.7,71.97,Hotel Vijay Palace - Sihor
Sturgis,US,37.4,41.8,-85.42,Best Western Plus Howe Inn
